,battery_id,formula_charge,id_charge,stability_charge,formula_discharge,id_discharge,stability_discharge,average_voltage,max_delta_volume,working_ion
0,mp-504791_Li,P(WO4)2,mp-504791,0.0,LiP(WO4)2,mp-763526,0.037837430416674415,2.3251851700000024,0.02856446304033855,Li
1,mp-763480_Li,P3W2O13,mp-767085,9.68407870356458e-05,LiP3W2O13,mp-763539,0.03996589359648972,3.291747695000003,0.017561975873751745,Li
2,mp-1176966_Li,P8W3O29,mp-777230,0.06132081437499881,Li2P8W3O29,mp-777867,0.02505051265872193,5.062579362499981,0.061033505798458336,Li
3,mp-1176966_Li,P8W3O29,mp-777230,0.06132081437499881,Li6P8W3O29,mp-1176966,0.02937480677536186,4.084422514166661,0.061033505798458336,Li
4,mp-1176966_Li,P8W3O29,mp-777230,0.06132081437499881,Li9P8W3O29,mp-777285,0.025606325569724756,3.609671179999997,0.061033505798458336,Li
5,mvc-5592_Li,P2WO7,mvc-5592,0.1112487600000005,LiP2WO7,mp-763367,0.049028171704548214,3.2011691699999907,0.02109634441882635,Li
6,mp-763566_Li,P2WO7,mp-773366,0.0,LiP2WO7,mp-763566,0.0172438548863667,2.4383090549999955,0.02534946745970124,Li
7,mp-761353_Li,P4WO13,mp-761353,0.05266081499999853,LiP4WO13,mp-761393,0.004088351885945585,5.2324398250000055,0.02036029139225404,Li
8,mp-761353_Li,P4WO13,mp-761353,0.05266081499999853,Li2P4WO13,mp-762217,0.04989646008333271,4.3233775124999925,0.04576741891781233,Li
9,mp-763403_Li,P4WO13,mp-767481,0.04785751249999848,LiP4WO13,mp-763403,0.0007057171491045011,5.210250439999988,0.015961667460582474,Li
10,mp-761345_Li,P4WO12,mp-761345,0.017240096176470487,LiP4WO12,mp-763455,0.03484016597222439,3.074790860000012,0.031561989952653365,Li
11,mp-763392_Li,P4WO12,mp-767578,0.028410774411764095,LiP4WO12,mp-763392,0.03154958958333598,3.323922764999997,0.012778052870826562,Li
12,mp-763466_Li,P4WO12,mp-767549,0.024506387352940532,LiP4WO12,mp-763466,0.02425564513889089,3.388839185,0.027869796448766197,Li
13,mp-1176594_Li,P4WO12,mp-767563,0.025829942941176576,LiP4WO12,mp-1176594,0.0112041104166698,3.646267255000003,0.023643399144105404,Li
14,mp-763463_Li,P4WO12,mp-767776,0.015392433823530284,LiP4WO12,mp-763463,0.00819746152777956,3.5229492800000113,0.007386651173850067,Li
15,mp-767180_Li,Li2MnOF3,mp-767180,0.08642791482142265,Li3MnOF3,mp-779954,0.09776381749999884,2.9889950150000053,0.03598767947617598,Li
16,mp-763875_Li,LiMn3OF8,mp-763875,0.0809801644551289,Li4Mn3OF8,mp-764981,0.08964098234375051,3.655577203333332,0.09308954528957414,Li
17,mp-767187_Li,Mn5OF11,mp-767187,0.0650658936519628,Li3Mn5OF11,mp-767196,0.05948704449999909,3.8262685100000007,0.041530446298942536,Li
18,mp-763854_Li,Mn3OF6,mp-763854,0.0943936260416658,Li2Mn3OF6,mp-764368,0.08044233083333374,3.6714482399999935,0.05817959821387043,Li
19,mp-765945_Li,Mn4OF8,mp-767164,0.07174601887820309,Li2Mn4OF8,mp-765945,0.06943598400000095,3.627713337499996,0.03626902805540922,Li
20,mp-767172_Li,Mn2OF3,mp-767172,0.04593942562499986,LiMn2OF3,mp-767309,0.05843311607142888,3.0327148924999934,0.0930310263577434,Li
21,mp-765441_Li,Mn5O3F5,mp-767195,0.09641979307692594,LiMn5O3F5,mp-765441,0.07958742928571105,2.799764639999997,0.018754327740109437,Li
22,mp-764671_Li,Mn7O7F,mp-767193,0.06161229333332941,LiMn7O7F,mp-764671,0.0838986018749992,2.2423381100000253,0.06525138478909698,Li
23,mp-765267_Li,Li9Fe4(BO3)8,mp-765296,0.072953286622222,Li3Fe(BO3)2,mp-765267,0.013229034583333464,4.4685408399999975,0.04404326813962189,Li
24,mp-761783_Li,Li3Co2Cu3O10,mp-764235,0.06823960954861441,Li5Co2Cu3O10,mp-761783,0.0581982324999899,3.5871661350000017,0.009511534490611151,Li
25,mp-761730_Li,LiCo3CuO8,mp-761730,0.040121241490384214,Li4Co3CuO8,mp-768017,0.11156614499998962,3.1970808766666696,0.04275545466743025,Li
26,mp-540145_Li,Fe(PO3)5,mp-540145,0.06350857867063464,LiFe(PO3)5,mp-687200,0.04220155652461965,5.400743890000007,0.005892915775619567,Li
27,mp-540145_Li,Fe(PO3)5,mp-540145,0.06350857867063464,Li2Fe(PO3)5,mp-705356,0.029144276956520443,5.327178872500005,0.04901256275808197,Li
28,mp-1101552_Li,FeP4O13,mp-1101552,0.15684964008101865,LiFeP4O13,mp-705398,0.1108981647587699,5.7117263725000145,0.035131041968753614,Li
29,mp-1101552_Li,FeP4O13,mp-1101552,0.15684964008101865,Li2FeP4O13,mp-763647,0.06619566298957924,5.484298095000005,0.035131041968753614,Li
30,mp-1177017_Li,Li3Fe3P8O29,mp-705437,0.10179320814922388,Li6Fe3P8O29,mp-1177017,0.03886458572010909,5.296617258333333,0.018560330381834026,Li
31,mp-1177017_Li,Li3Fe3P8O29,mp-705437,0.10179320814922388,Li9Fe3P8O29,mp-579738,1.7763568394002505e-15,5.122809889999999,0.0372058099118302,Li
32,mp-540453_Li,Li3FeP2O9,mp-540454,0.09490840566666847,Li4FeP2O9,mp-540453,0.05502005829427148,4.6252995499999985,0.012176194269048812,Li
33,mp-1101549_Li,Fe4P9O32,mp-1101549,0.1174103529212962,Li3Fe4P9O32,mp-705390,0.07276976918402678,5.144811168333334,0.037107287962166564,Li
34,mp-762711_Li,Li2Fe(PO4)2,mp-762711,0.07837644421474099,Li3Fe(PO4)2,mp-773399,0.014080367589285991,4.9945237899999935,0.018056619817875763,Li
35,mp-762856_Li,Li2Fe(PO4)2,mp-762856,0.07999180036858711,Li3Fe(PO4)2,mp-772427,0.03177435294642805,4.7678076250000085,0.039994637517128284,Li
37,mp-31779_Li,LiFe2(PO4)3,mp-699352,0.0926855513194429,Li3Fe2(PO4)3,mp-31779,0.03145848912500071,4.7615821500000015,0.0057454427716499,Li
38,mp-540420_Li,LiFe2(PO4)3,mp-540420,0.1050684479861097,Li3Fe4(PO4)6,mp-767949,0.06987656045608404,5.475856030000021,0.0003740842518282772,Li
39,mp-1013899_Li,Fe3P3O13,mvc-11637,0.09390489861842256,LiFe3P3O13,mp-1013899,0.041895945385415516,5.072958775000023,0.005085605476514932,Li
40,mp-1048396_Li,FeP2O7,mp-1048396,0.10833800460416664,LiFeP2O7,mp-762487,0.030094589545455182,5.300311742500004,0.09932582427703407,Li
41,mp-1101522_Li,LiFeP2O7,mp-1101522,0.15713011250000086,Li2FeP2O7,mp-540026,0.0383467564583313,4.463954980000001,0.023232497627146298,Li
42,mp-704185_Li,Fe4(PO4)3,mp-704185,0.09034056779605493,LiFe4(PO4)3,mp-704186,0.031867605874988485,4.2865422350000175,0.013890017510245656,Li
43,mp-771505_Li,CrCo5O12,mp-773306,0.06688763369443329,Li4CrCo5O12,mp-771505,0.07987086840906077,3.787754732500003,0.01681014259065661,Li
44,mp-761651_Li,Cr(CoO3)2,mp-775117,0.09808121211111942,Li2Cr(CoO3)2,mp-761651,0.08510068090909773,3.8206619849999983,0.01593335032736154,Li
45,mp-770878_Li,Cr3Co5O16,mp-771924,0.0963317806041646,Li4Cr3Co5O16,mp-770878,0.09996860910714213,3.9068699900000095,0.11874720967354202,Li
46,mp-766730_Li,Cr3(CoO6)2,mp-861261,0.004259006911763841,Li3Cr3(CoO6)2,mp-766730,0.0803656960625041,3.6270034124999975,0.029870135873083962,Li
47,mp-1177445_Li,Li2Cr3CoO8,mp-763336,0.08215624249999909,Li3Cr3CoO8,mp-765438,0.01896537916666308,4.010260959999988,0.0003960244076799402,Li
48,mp-1177445_Li,Li2Cr3CoO8,mp-763336,0.08215624249999909,Li4Cr3CoO8,mp-1177445,0.034620451874999965,3.4426843349999867,0.013373758889382524,Li
55,mp-1176725_Li,LiFe8(BO3)8,mp-850498,0.0603958723441842,LiFe4(BO3)4,mp-774381,0.06374107980160204,3.165767289999996,0.0022557952804858057,Li
56,mp-1176725_Li,LiFe8(BO3)8,mp-850498,0.0603958723441842,LiFe2(BO3)2,mp-764552,0.04432356926136905,3.1320227833333316,0.007631328923772163,Li
57,mp-1176725_Li,LiFe8(BO3)8,mp-850498,0.0603958723441842,LiFeBO3,mp-783910,0.0,2.9693087414285717,0.007631328923772163,Li
58,mp-1176728_Li,LiFe4(BO3)4,mp-849720,0.06949385980160194,LiFe2(BO3)2,mp-764678,0.04811117767046103,3.1526315249999803,0.006544279433753575,Li
59,mp-1176728_Li,LiFe4(BO3)4,mp-849720,0.06949385980160194,Li5Fe8(BO3)8,mp-764493,0.04494361470833308,2.968821299999997,0.006544279433753575,Li
60,mp-763520_Li,PWO5,mp-767454,1.4210854715202004e-14,LiPWO5,mp-763520,0.023160938906249484,2.623638247500002,0.014914615226929715,Li
61,mp-763543_Li,P3W2O13,mp-767771,0.007846204814814683,LiP3W2O13,mp-763543,0.0467591279385946,3.302164795000015,0.012447330402642232,Li
62,mp-763452_Li,P3W2O13,mp-767436,0.008531312731481222,LiP3W2O13,mp-763452,0.03932620622806837,3.4557222500000133,0.0007419593181878793,Li
63,mp-762268_Li,LiVO3,mp-763200,0.08418137899999945,Li2VO3,mp-774192,0.019806669374998972,3.1291248299999994,0.003406559060350034,Li
64,mp-763461_Li,P3(WO6)2,mp-767435,0.003886971470603129,LiP3(WO6)2,mp-763461,0.0012813023611215613,2.9714064275000047,1.2904017606452099e-05,Li
65,mp-763461_Li,P3(WO6)2,mp-767435,0.003886971470603129,Li3P3(WO6)2,mp-763606,0.048438206000001933,2.4009392474999967,0.02027040338816244,Li
66,mp-763372_Li,P3(WO6)2,mp-851036,1.5987211554602254e-14,LiP3(WO6)2,mp-763532,1.0658141036401504e-14,2.9283913550000067,0.00022906605591366255,Li
67,mp-763372_Li,P3(WO6)2,mp-851036,1.5987211554602254e-14,Li3P3(WO6)2,mp-777465,0.03863033687500117,2.444298870000007,0.02468181938740166,Li
68,mp-763561_Li,P2WO8,mp-767148,0.07158850227272673,LiP2WO8,mp-765954,0.05616934506945004,4.270126764999992,0.030097195342366545,Li
69,mp-763561_Li,P2WO8,mp-767148,0.07158850227272673,Li2P2WO8,mp-763561,0.006784726538499264,3.991433319999997,0.031213219969647762,Li
70,mp-1177023_Li,V5O12,mp-774289,0.09886194823529236,Li3V5O12,mp-762254,0.07175982312499674,3.4384971733333267,0.04635707194177119,Li
71,mp-1177023_Li,V5O12,mp-774289,0.09886194823529236,Li5V5O12,mp-762281,0.059569132803017226,3.180058096999999,0.04635707194177119,Li
72,mp-1177023_Li,V5O12,mp-774289,0.09886194823529236,Li6V5O12,mp-764771,0.046074684782607456,3.084901396666666,0.04635707194177119,Li
73,mp-1177023_Li,V5O12,mp-774289,0.09886194823529236,Li7V5O12,mp-776654,0.030987915104167207,3.002580677142854,0.04635707194177119,Li
74,mp-763357_Li,LiP2WO8,mp-763357,0.045307471319449455,Li3P2WO8,mp-763373,0.05384519723214432,2.7526610350000014,0.024351040008381286,Li
75,mp-763370_Li,P2WO8,mp-767803,0.0072527909090904785,LiP2WO8,mp-763370,0.04212289486111676,3.730991342499995,0.009954252451374934,Li
76,mp-763483_Li,P2WO8,mp-767567,0.005100998863635907,LiP2WO8,mp-763483,0.05015520548611629,3.610933902499999,0.026172695916578004,Li
77,mp-761371_Li,P5WO15,mp-761371,0.07153321047617567,LiP5WO15,mp-773952,0.02022234276513757,5.391871595000002,0.019900739221600402,Li
78,mp-761371_Li,P5WO15,mp-761371,0.07153321047617567,Li2P5WO15,mp-763414,0.030172877971014426,4.275809577500004,0.02381144900800658,Li
79,mp-540341_Li,FePO4,mp-540341,0.14243985972222273,LiFe2(PO4)2,mp-768323,0.08815815657051207,3.8609294966666616,0.022448100968606832,Li
80,mp-767263_Li,LiFe2(PO4)2,mp-767263,0.08161554349358903,LiFePO4,mp-774251,0.04717330857142876,3.6928896199999937,0.007413314390684489,Li
81,mp-694541_Li,FePO4,mp-694541,0.03170152083333466,LiFe2(PO4)2,mp-767237,0.04328958157051144,3.115360905000008,0.013906035332970523,Li
82,mp-1101554_Li,FePO4,mp-1101554,0.022006420000000304,LiFePO4,mp-761474,0.014889264999999876,3.322824209999998,0.1137814390576779,Li
83,mp-763407_Li,P4WO12,mp-850493,0.009818386029412096,LiP4WO12,mp-763407,1.7763568394002505e-15,3.575744775000009,0.016079141730462876,Li
84,mp-763440_Li,Li7Mn(O2F)2,mp-767574,0.07105786714283724,Li8Mn(O2F)2,mp-763440,0.06773237966669132,1.5971128899999958,0.061226299022514086,Li
85,mp-767185_Li,Li7Mn(O2F)2,mp-767185,0.06341359428569415,Li8Mn(O2F)2,mp-780086,0.07192084766669105,1.4272660499999907,0.05599144535909106,Li
86,mp-765757_Li,Li3MnOF4,mp-767174,0.075334626527777,Li4MnOF4,mp-765757,0.09926192299999848,2.8515025599999984,0.03890777429591963,Li
87,mp-767186_Li,LiMn3(OF3)2,mp-767186,0.08932276729166855,Li4Mn3(OF3)2,mp-768006,0.09184424466666563,3.336802280000001,0.037115361533068165,Li
88,mp-767084_Li,Mn3(OF3)2,mp-767627,0.07092754098484289,LiMn3(OF3)2,mp-767084,0.01620521354166815,4.998079464999996,0.044679661618979294,Li
89,mp-764214_Li,Li7VO5F,mp-764407,0.06619616008928643,Li8VO5F,mp-765837,0.048815783333333584,1.3437755500000086,0.04309080187714765,Li
90,mvc-11624_Li,VO2,mp-714960,0.1589104300000006,Li3V8O16,mp-1177934,0.05082373953704256,3.5644727900000013,0.031436000420271615,Li
91,mvc-11624_Li,VO2,mp-714960,0.1589104300000006,Li17V16O32,mp-761629,0.017474847282049843,2.785924785882357,0.031436000420271615,Li
92,mvc-11624_Li,VO2,mp-714960,0.1589104300000006,Li5V4O8,mp-771611,0.050477125490195895,2.3768879320000047,0.031436000420271615,Li
93,mp-765333_Li,Li3Mn3O5F3,mp-767119,0.07117491647321206,Li5Mn3O5F3,mp-765333,0.08287035499999984,2.6836208600000027,0.03947100933061787,Li
94,mp-1176658_Li,Mn2O2F3,mp-766920,0.08230599202381139,LiMn2O2F3,mp-1176658,0.02898319968750052,4.542434384999998,0.10622426177896238,Li
95,mp-764394_Li,Mn5OF11,mp-767182,0.05050700071078662,Li3Mn5OF11,mp-764394,0.051189362499998836,3.7990859966666672,0.041463971615199435,Li
96,mp-763486_Li,Mn3OF6,mp-763856,0.07336057154166475,Li2Mn3OF6,mp-763486,0.07436070916666626,3.6027726974999985,0.15408018989737138,Li
97,mp-762265_Li,LiV5O10,mp-762390,0.07887074286457363,Li2V5O10,mp-762287,0.06985441950979876,2.8250097600000195,0.001641683507739522,Li
98,mp-762265_Li,LiV5O10,mp-762390,0.07887074286457363,Li3V5O10,mp-762265,0.05755436361111066,2.8019557950000054,0.003932874332172265,Li
99,mp-762265_Li,LiV5O10,mp-762390,0.07887074286457363,Li4V5O10,mp-762292,0.04549640144736866,2.6560356933333344,0.003932874332172265,Li
100,mp-762265_Li,LiV5O10,mp-762390,0.07887074286457363,LiVO2,mp-764772,0.03819535399999996,2.5653200500000044,0.003932874332172265,Li
101,mp-764272_Li,LiV(OF)2,mp-765509,0.07106420041666618,Li2V(OF)2,mp-764272,0.07313655428571497,3.7179605875,0.024260513344933617,Li
102,mp-697733_Li,FeP2O7,mp-697733,0.08364434435416701,Li2FeP2O7,mp-697811,0.031486998333331684,4.101128232500002,0.02649057938118426,Li
103,mp-1101512_Li,FeP2O7,mp-540323,0.050422927604166994,LiFeP2O7,mp-1101512,0.0,5.05220145750001,0.014660807220700178,Li
104,mp-765034_Li,Mn2OF3,mp-765034,0.05268200604166662,LiMn2OF3,mp-767188,0.07268252714285772,2.973424497499996,0.1466280850159798,Li
105,mp-763860_Li,Mn2OF3,mp-763860,0.061567690625,LiMn2OF3,mp-764788,0.0692449392857144,3.0508017200000004,0.12087882031569765,Li
106,mp-767131_Li,Mn2O3F,mp-767610,0.06475607354166613,LiMn2O3F,mp-767131,0.033411719017859554,4.028872154999993,0.03570489995087689,Li
107,mp-766866_Li,Mn5O9F,mp-766870,0.0681287405833313,Li4Mn5O9F,mp-766866,0.06263598052631902,3.36632404,0.07621462754703258,Li
108,mp-766866_Li,Mn5O9F,mp-766870,0.0681287405833313,Li5Mn5O9F,mp-767106,0.04269819649999906,3.2287459320000034,0.07621462754703258,Li
109,mp-764403_Li,Mn7(OF3)3,mp-861565,0.09350633368421146,LiMn7(OF3)3,mp-764403,0.0573128039999995,3.290895600000004,0.013301523103876223,Li
110,mp-763431_Li,Mn5O3F5,mp-767239,0.0954611000000032,LiMn5O3F5,mp-763431,0.08427726071428232,2.7216439900000093,0.030425915229650657,Li
111,mp-766932_Li,Mn5O7F,mp-766932,0.07796105500000472,LiMn5O7F,mp-767067,0.0528763802232195,3.742384570000004,0.02595601107914192,Li
112,mp-764332_Li,Mn5O5F,mp-767352,0.05944499545454285,LiMn5O5F,mp-764332,0.09018049249999828,2.2322603800000045,0.08437286035779422,Li
113,mp-770859_Li,Mn3Co3(CuO8)2,mp-770859,0.07405737515625521,Li4Mn3Co3(CuO8)2,mp-771073,0.05821097226190819,4.086224092500002,0.10071320210907507,Li
114,mp-1176790_Li,Li2Fe(BO3)2,mp-767828,0.07293943931060554,Li3Fe(BO3)2,mp-773213,0.00021512145833302296,4.391737197499999,0.0391088166970599,Li
115,mp-767662_Li,Li3Fe3(BO3)4,mp-767662,0.0786872855113625,Li4Fe3(BO3)4,mp-767682,0.04023528244565888,3.2668900149999778,0.005498510077935448,Li
116,mp-767662_Li,Li3Fe3(BO3)4,mp-767662,0.0786872855113625,Li5Fe3(BO3)4,mp-767724,0.024822041875014026,2.9553479949999875,0.01636506640308255,Li
117,mp-764690_Li,Li2V(OF)2,mp-764690,0.09608311285714423,Li3V(OF)2,mp-765836,0.07957082749999955,2.5387868499999997,0.0017135250086000033,Li
118,mp-765956_Li,LiV(OF)2,mp-765956,0.0006716604166676633,Li3V2(OF)4,mp-776500,0.0789569048168488,3.005058600000003,0.03427189960205612,Li
119,mp-776664_Li,V3OF11,mp-777223,0.04014186816665522,LiV3OF11,mp-776664,0.04493265675781366,4.419785679999995,0.04992101753156364,Li
